"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"English (General)","Inglés (General)"
"English (Australia)","Inglés (Australia)"
"English (Canada)","Inglés (Canadá)"
"English (Hong Kong)","Inglés (Hong Kong)"
"English (India)","Inglés (India)"
"English (Guiana)","Inglés (Guayana)"
"English (South Africa)","Inglés (Sudáfrica)"
"English (Custom)","Inglés (personalizado)"
"English language package en_US - Community Edition (CE)","Paquete de idioma inglés en_US - Community Edition (CE)"
"English language package en_AU - Community Edition (CE)","Paquete de idioma inglés en_AU - Community Edition (CE)"
"English language package en_CA - Community Edition (CE)","Paquete de idioma inglés en_CA - Community Edition (CE)"
"English language package en_HK - Community Edition (CE)","Paquete de idioma inglés en_HK - Community Edition (CE)"
"English language package en_IN - Community Edition (CE)","Paquete de idioma inglés en_IN - Community Edition (CE)"
"English language package en_GY - Community Edition (CE)","Paquete de idioma inglés en_GY - Community Edition (CE)"
"English language package en_ZA - Community Edition (CE)","Paquete de idioma inglés en_ZA - Community Edition (CE)"
"English language package en_ZZ - Community Edition (CE)","Paquete de idioma inglés en_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","El paquete de idioma <span style='color:red'>%s</span> en la versión <span style='color:red'>%s</span> se ha instalado correctamente."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Esta extensión simplemente agrega tres bloques estáticos en las <a href='%s'>Plantillas de Correo electrónico</a>:"
"Salutation","Saludo"
"Contact information","Información del contacto"
"Closing formula","Fórmula de clausura"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","Los bloques estáticos pueden ser manejados por el <a href='%s'>Sistema de CMS</a> en el área de administración."
"Note for detailed information, the README file on the <a href='%s'>GitHub page</a>.","Nota: Para obtener información detallada, el archivo LEAME/README en la <a href='%s'>página de GitHub</a>."
"powered by","proporcionado por"
"and","y"
"custom stores","tiendas personalizadas"
"This is your individual language pack that is only managed and maintained by you.","Es su propio paquete de lenguaje personal que es administrado y mantenido sólo por usted."
"Adjust the file ""%s"" with your name and the link to your website.","Ajuste el archivo ""%s"" con su nombre y el enlace a su sitio web."
"Fill out the language files in ""app/locale/en_ZZ"" with your own translations and never lose again your customizations.","Rellene los archivos de idioma en ""app/locale/en_ZZ"" con sus propias traducciones y nunca pierda de nuevo sus personalizaciones."
