"Language Packs","Pacchetto di lingua"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attenzione: Il suo pacchetto locale non corrisponde alla sua Versione di Magento. <a href='%s'>Ottieni maggiori informazioni qui.</a>"
"English (General)","Inglese (Generale)"
"English (Australia)","Inglese (Australia)"
"English (Canada)","Inglese (Canada)"
"English (Hong Kong)","Inglese (Hong Kong)"
"English (India)","Inglese (India)"
"English (Guiana)","Inglese (Guiana)"
"English (South Africa)","Inglese (Sud Africa)"
"English (Custom)","Inglese (Costume)"
"English language package en_US - Community Edition (CE)","Pacchetto in lingua inglese en_US - Community Edition (CE)"
"English language package en_AU - Community Edition (CE)","Pacchetto in lingua inglese en_AU - Community Edition (CE)"
"English language package en_CA - Community Edition (CE)","Pacchetto in lingua inglese en_CA - Community Edition (CE)"
"English language package en_HK - Community Edition (CE)","Pacchetto in lingua inglese en_HK - Community Edition (CE)"
"English language package en_IN - Community Edition (CE)","Pacchetto in lingua inglese en_IN - Community Edition (CE)"
"English language package en_GY - Community Edition (CE)","Pacchetto in lingua inglese en_GY - Community Edition (CE)"
"English language package en_ZA - Community Edition (CE)","Pacchetto in lingua inglese en_ZA - Community Edition (CE)"
"English language package en_ZZ - Community Edition (CE)","Pacchetto in lingua inglese en_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Il language pack <span style='color:red'>%s</span> nella versione <span style='color:red'>%s</span> è stato installato correttamente."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Questa estensione aggiunge semplicemente tre blocchi statici nei <a href='%s'>modelli di email</a>:"
"Salutation","Saluto"
"Contact information","Informazioni di contatto"
"Closing formula","Formula di chiusura"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","I blocchi statici possono essere gestiti dal <a href='%s'>sistema CMS</a> nell'area amministrativa."
"Note for detailed information, the README file on the <a href='%s'>GitHub page</a>.","Nota per informazioni dettagliate, il file README sulla <a href='%s'>pagina GitHub</a>."
"powered by","offerto da"
"and","e"
"custom stores","negozi personalizzati"
"This is your individual language pack that is only managed and maintained by you.","Questo è il tuo pacchetto linguistico personale che viene gestito e gestito solo da te."
"Adjust the file ""%s"" with your name and the link to your website.","Regola il file ""%s"" con il tuo nome e il link al suo sito web."
"More Infos here soon!","Più informazioni qui presto!"
"Fill out the language files in ""app/locale/en_ZZ"" with your own translations and never lose again your customizations.","Compila i file della lingua in ""app/locale/en_ZZ"" con le sue traduzioni e non perdere mai più le tue personalizzazioni."
