"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"English (General)","Inglês (Geral)"
"English (Australia)","Inglês (Austrália)"
"English (Canada)","Inglês (Canadá)"
"English (Hong Kong)","Inglês (Hong Kong)"
"English (India)","Inglês (Índia)"
"English (Guiana)","Inglês (Guiana)"
"English (South Africa)","Inglês (África do Sul)"
"English (Custom)","Inglês (personalizado)"
"English language package en_US - Community Edition (CE)","Pacote de idioma inglêsa en_US - Community Edition (CE)"
"English language package en_AU - Community Edition (CE)","Pacote de idioma inglêsa en_AU - Community Edition (CE)"
"English language package en_CA - Community Edition (CE)","Pacote de idioma inglêsa en_CA - Community Edition (CE)"
"English language package en_HK - Community Edition (CE)","Pacote de idioma inglêsa en_HK - Community Edition (CE)"
"English language package en_IN - Community Edition (CE)","Pacote de idioma inglêsa en_IN - Community Edition (CE)"
"English language package en_GY - Community Edition (CE)","Pacote de idioma inglêsa en_GY - Community Edition (CE)"
"English language package en_ZA - Community Edition (CE)","Pacote de idioma inglêsa en_ZA - Community Edition (CE)"
"English language package en_ZZ - Community Edition (CE)","Pacote de idioma inglêsa en_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","O pacote de idiomas <span style='color:red'>%s</span> na versão <span style='color:red'>%s</span> foi instalado com sucesso."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Este pacote é simplesmente adicionando três blocos estáticos para o <a href='%s'>E-mail-Templates</a>:"
"Salutation","Saudação"
"Contact information","Informações de contato"
"Closing formula","Fórmula de encerramento"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area."
"Note for detailed information, the README file on the <a href='%s'>GitHub page</a>.","Nota: Para obter informações detalhadas, o arquivo LEAME/README no <a href='%s'>página GitHub</a>."
"powered by","distribuído por"
"and","e"
"custom stores","lojas personalizadas"
"This is your individual language pack that is only managed and maintained by you.","É o seu próprio pacote de idioma pessoal que é gerido e mantido apenas por você."
"Adjust the file ""%s"" with your name and the link to your website.","Defina o arquivo ""%s"" com seu nome e link para seu site."
"Fill out the language files in ""app/locale/en_ZZ"" with your own translations and never lose again your customizations.","Preencha os arquivos de idioma em ""app/locale/en_ZZ"" com suas próprias traduções e nunca perder suas personalizações novamente."
